inventory_id,pharmacy_id,medicine_id,quantity,status,updated_at
INV000040,PH0001,MED0110,249,AVAILABLE,2026-08-21 07:59:59
INV000041,PH0001,MED0292,347,AVAILABLE,2026-08-21 07:08:13
INV000042,PH0001,MED0455,227,AVAILABLE,2026-08-21 07:57:59
INV000043,PH0001,MED0469,52,AVAILABLE,2026-08-21 05:52:00
INV000044,PH0001,MED0126,56,AVAILABLE,2026-08-21 05:48:57
INV000045,PH0001,MED0003,22,AVAILABLE,2026-08-21 07:39:20
INV000046,PH0001,MED0331,391,AVAILABLE,2026-08-21 04:15:14
INV000047,PH0001,MED0206,274,AVAILABLE,2026-08-21 03:12:32
INV000048,PH0001,MED0438,47,AVAILABLE,2026-08-21 05:58:53
INV000049,PH0001,MED0434,51,AVAILABLE,2026-08-21 05:49:20
INV000050,PH0001,MED0212,174,AVAILABLE,2026-08-21 07:36:44
INV000051,PH0001,MED0105,187,AVAILABLE,2026-08-21 06:13:02
INV000052,PH0001,MED0194,48,AVAILABLE,2026-08-21 03:48:17
INV000053,PH0001,MED0209,394,AVAILABLE,2026-08-21 03:35:26
INV000054,PH0001,MED0057,368,AVAILABLE,2026-08-21 03:11:34
INV000055,PH0001,MED0453,259,AVAILABLE,2026-08-21 04:33:41
INV000056,PH0001,MED0012,255,AVAILABLE,2026-08-21 07:19:26
INV000057,PH0002,MED0088,0,OUT_OF_STOCK,2026-08-19 12:38:21
INV000058,PH0002,MED0332,13,LOW_STOCK,2026-08-19 13:53:19
INV000059,PH0002,MED0206,0,OUT_OF_STOCK,2026-08-19 12:11:10
INV000060,PH0002,MED0449,239,AVAILABLE,2026-08-19 14:30:59
INV000061,PH0002,MED0157,7,LOW_STOCK,2026-08-19 11:12:38
INV000062,PH0002,MED0010,273,AVAILABLE,2026-08-19 14:54:50
INV000063,PH0002,MED0237,18,LOW_STOCK,2026-08-19 10:46:05
INV000064,PH0002,MED0184,259,AVAILABLE,2026-08-19 16:12:07
INV000065,PH0002,MED0208,144,AVAILABLE,2026-08-19 10:32:03
INV000066,PH0002,MED0089,262,AVAILABLE,2026-08-19 11:41:22
INV000067,PH0002,MED0056,155,AVAILABLE,2026-08-19 15:01:51
INV000068,PH0002,MED0029,348,AVAILABLE,2026-08-19 15:53:44
INV000069,PH0002,MED0428,33,AVAILABLE,2026-08-19 12:52:35
INV000070,PH0002,MED0336,143,AVAILABLE,2026-08-19 15:11:42
INV000071,PH0002,MED0065,93,AVAILABLE,2026-08-19 12:21:21
INV000072,PH0002,MED0192,265,AVAILABLE,2026-08-19 15:13:15
INV000073,PH0002,MED0095,127,AVAILABLE,2026-08-19 13:06:14
INV000074,PH0002,MED0162,0,OUT_OF_STOCK,2026-08-19 16:15:27
INV000075,PH0002,MED0124,88,AVAILABLE,2026-08-19 14:33:51
INV000076,PH0002,MED0354,222,AVAILABLE,2026-08-19 10:53:18
INV000077,PH0002,MED0459,19,LOW_STOCK,2026-08-19 12:34:50
INV000078,PH0002,MED0179,244,AVAILABLE,2026-08-19 13:39:24
INV000079,PH0002,MED0496,383,AVAILABLE,2026-08-19 15:32:25
INV000080,PH0002,MED0337,193,AVAILABLE,2026-08-19 12:35:13
INV000081,PH0002,MED0262,142,AVAILABLE,2026-08-19 12:22:52
INV000082,PH0002,MED0311,68,AVAILABLE,2026-08-19 14:59:20
INV000083,PH0002,MED0025,0,OUT_OF_STOCK,2026-08-19 12:47:46
INV000084,PH0002,MED0353,109,AVAILABLE,2026-08-19 13:23:58
INV000085,PH0002,MED0011,128,AVAILABLE,2026-08-19 10:43:41
INV000086,PH0002,MED0269,56,AVAILABLE,2026-08-19 12:52:09
INV000087,PH0002,MED0167,331,AVAILABLE,2026-08-19 16:26:33
INV000088,PH0002,MED0210,189,AVAILABLE,2026-08-19 11:34:40
INV000089,PH0002,MED0201,0,OUT_OF_STOCK,2026-08-19 14:53:05
INV000090,PH0002,MED0207,219,AVAILABLE,2026-08-19 16:09:06
INV000091,PH0002,MED0159,0,OUT_OF_STOCK,2026-08-19 13:05:12
INV000092,PH0002,MED0122,55,AVAILABLE,2026-08-19 15:17:12
INV000093,PH0002,MED0467,0,OUT_OF_STOCK,2026-08-19 16:28:28
INV000094,PH0002,MED0117,8,LOW_STOCK,2026-08-19 15:12:59
INV000095,PH0002,MED0061,241,AVAILABLE,2026-08-19 10:32:23
INV000096,PH0002,MED0097,97,AVAILABLE,2026-08-19 11:00:56
INV000097,PH0002,MED0280,259,AVAILABLE,2026-08-19 13:41:45
INV000098,PH0002,MED0241,58,AVAILABLE,2026-08-19 14:00:43
INV000099,PH0002,MED0248,378,AVAILABLE,2026-08-19 10:44:12
INV000100,PH0002,MED0082,0,OUT_OF_STOCK,2026-08-19 14:42:17
INV000101,PH0002,MED0016,246,AVAILABLE,2026-08-19 16:28:35
INV000102,PH0002,MED0019,46,AVAILABLE,2026-08-19 15:04:08
INV000103,PH0002,MED0104,0,OUT_OF_STOCK,2026-08-19 14:37:05
INV000104,PH0002,MED0349,175,AVAILABLE,2026-08-19 15:41:08
INV000105,PH0002,MED0297,392,AVAILABLE,2026-08-19 11:33:09
INV000106,PH0002,MED0258,10,LOW_STOCK,2026-08-19 12:07:46
INV000107,PH0002,MED0114,273,AVAILABLE,2026-08-19 14:52:32
INV000108,PH0002,MED0246,242,AVAILABLE,2026-08-19 13:39:27
INV000109,PH0002,MED0116,14,LOW_STOCK,2026-08-19 13:46:35
INV000110,PH0002,MED0057,311,AVAILABLE,2026-08-19 10:56:28
INV000111,PH0003,MED0206,0,OUT_OF_STOCK,2026-08-21 03:38:07
INV000112,PH0003,MED0446,145,AVAILABLE,2026-08-21 00:21:18
INV000113,PH0003,MED0077,280,AVAILABLE,2026-08-21 00:37:14
INV000114,PH0003,MED0194,226,AVAILABLE,2026-08-20 23:17:47
INV000115,PH0003,MED0064,230,AVAILABLE,2026-08-21 00:13:16
INV000116,PH0003,MED0026,249,AVAILABLE,2026-08-21 02:59:28
INV000117,PH0003,MED0299,350,AVAILABLE,2026-08-21 01:04:39
INV000118,PH0003,MED0270,131,AVAILABLE,2026-08-20 22:42:32
INV000119,PH0003,MED0395,312,AVAILABLE,2026-08-21 00:31:06
INV000120,PH0003,MED0442,297,AVAILABLE,2026-08-21 00:20:46
INV000121,PH0003,MED0369,3,LOW_STOCK,2026-08-21 03:02:54
INV000122,PH0003,MED0130,2,LOW_STOCK,2026-08-21 01:03:32
INV000123,PH0003,MED0221,181,AVAILABLE,2026-08-20 23:42:41
INV000124,PH0003,MED0201,164,AVAILABLE,2026-08-21 01:00:41
INV000125,PH0003,MED0065,126,AVAILABLE,2026-08-21 03:44:13
INV000126,PH0003,MED0008,243,AVAILABLE,2026-08-21 02:48:54
INV000127,PH0003,MED0496,133,AVAILABLE,2026-08-20 22:44:33
INV000128,PH0003,MED0289,215,AVAILABLE,2026-08-21 03:59:10
INV000129,PH0003,MED0029,387,AVAILABLE,2026-08-21 01:18:23
INV000130,PH0003,MED0387,293,AVAILABLE,2026-08-20 23:45:40
INV000131,PH0003,MED0122,73,AVAILABLE,2026-08-21 02:37:02
INV000132,PH0003,MED0249,193,AVAILABLE,2026-08-21 03:13:36
INV000133,PH0003,MED0393,378,AVAILABLE,2026-08-21 04:09:19
INV000134,PH0003,MED0258,243,AVAILABLE,2026-08-21 00:08:48
INV000135,PH0003,MED0173,5,LOW_STOCK,2026-08-20 23:08:13
INV000136,PH0003,MED0073,291,AVAILABLE,2026-08-21 00:22:31
INV000137,PH0003,MED0078,274,AVAILABLE,2026-08-21 02:47:37
INV000138,PH0003,MED0398,6,LOW_STOCK,2026-08-21 02:32:55
INV000139,PH0003,MED0150,278,AVAILABLE,2026-08-21 00:25:05
INV000140,PH0003,MED0067,282,AVAILABLE,2026-08-20 23:56:55
INV000141,PH0003,MED0123,85,AVAILABLE,2026-08-21 03:21:52
INV000142,PH0003,MED0411,299,AVAILABLE,2026-08-21 00:42:04
INV000143,PH0003,MED0235,356,AVAILABLE,2026-08-21 01:18:53
INV000144,PH0003,MED0456,54,AVAILABLE,2026-08-21 02:16:01
INV000145,PH0003,MED0187,377,AVAILABLE,2026-08-21 04:07:57
INV000146,PH0003,MED0434,377,AVAILABLE,2026-08-21 00:15:16
INV000147,PH0003,MED0110,0,OUT_OF_STOCK,2026-08-21 02:45:32
INV000148,PH0003,MED0292,18,LOW_STOCK,2026-08-20 22:45:35
INV000149,PH0003,MED0218,0,OUT_OF_STOCK,2026-08-21 00:04:35
INV000150,PH0003,MED0214,239,AVAILABLE,2026-08-21 00:28:28
INV000151,PH0003,MED0352,310,AVAILABLE,2026-08-20 23:56:40
INV000152,PH0003,MED0353,367,AVAILABLE,2026-08-21 01:20:42
INV000153,PH0003,MED0063,15,LOW_STOCK,2026-08-21 03:40:11
INV000154,PH0003,MED0290,81,AVAILABLE,2026-08-21 04:17:25
INV000155,PH0003,MED0018,313,AVAILABLE,2026-08-20 23:18:51
INV000156,PH0003,MED0510,216,AVAILABLE,2026-08-21 02:11:24
INV000157,PH0003,MED0053,234,AVAILABLE,2026-08-21 02:39:31
INV000158,PH0003,MED0129,17,LOW_STOCK,2026-08-21 02:09:23
INV000159,PH0003,MED0248,275,AVAILABLE,2026-08-21 00:36:05
INV000160,PH0003,MED0232,224,AVAILABLE,2026-08-21 02:39:35
INV000161,PH0003,MED0375,203,AVAILABLE,2026-08-20 23:15:50
INV000162,PH0004,MED0362,108,AVAILABLE,2026-08-20 15:51:09
INV000163,PH0004,MED0453,22,AVAILABLE,2026-08-20 17:20:24
INV000164,PH0004,MED0221,248,AVAILABLE,2026-08-20 15:21:20
INV000165,PH0004,MED0313,232,AVAILABLE,2026-08-20 12:31:51
INV000166,PH0004,MED0241,0,OUT_OF_STOCK,2026-08-20 17:02:10
INV000167,PH0004,MED0397,215,AVAILABLE,2026-08-20 15:15:49
INV000168,PH0004,MED0273,98,AVAILABLE,2026-08-20 16:19:49
INV000169,PH0004,MED0428,174,AVAILABLE,2026-08-20 15:49:15
INV000170,PH0004,MED0192,321,AVAILABLE,2026-08-20 13:42:40
INV000171,PH0004,MED0115,0,OUT_OF_STOCK,2026-08-20 12:34:15
INV000172,PH0004,MED0482,123,AVAILABLE,2026-08-20 14:12:19
INV000173,PH0004,MED0064,1,LOW_STOCK,2026-08-20 14:18:20
INV000174,PH0004,MED0438,182,AVAILABLE,2026-08-20 12:27:27
INV000175,PH0004,MED0048,393,AVAILABLE,2026-08-20 16:59:59
INV000176,PH0004,MED0016,145,AVAILABLE,2026-08-20 14:55:54
INV000177,PH0004,MED0028,338,AVAILABLE,2026-08-20 15:35:28
INV000178,PH0004,MED0518,98,AVAILABLE,2026-08-20 11:52:59
INV000179,PH0004,MED0430,230,AVAILABLE,2026-08-20 17:00:59
INV000180,PH0004,MED0044,375,AVAILABLE,2026-08-20 15:23:03
INV000181,PH0004,MED0462,333,AVAILABLE,2026-08-20 12:57:56
INV000182,PH0004,MED0180,331,AVAILABLE,2026-08-20 12:43:11
INV000183,PH0004,MED0134,55,AVAILABLE,2026-08-20 16:06:20
INV000184,PH0004,MED0012,26,AVAILABLE,2026-08-20 13:52:40
INV000185,PH0004,MED0230,53,AVAILABLE,2026-08-20 12:26:20
INV000186,PH0004,MED0373,268,AVAILABLE,2026-08-20 12:10:23
INV000187,PH0004,MED0095,314,AVAILABLE,2026-08-20 12:06:54
INV000188,PH0004,MED0389,159,AVAILABLE,2026-08-20 15:21:40
INV000189,PH0004,MED0213,157,AVAILABLE,2026-08-20 16:43:26
INV000190,PH0004,MED0284,332,AVAILABLE,2026-08-20 15:45:33
INV000191,PH0004,MED0378,182,AVAILABLE,2026-08-20 11:53:41
INV000192,PH0004,MED0054,201,AVAILABLE,2026-08-20 12:51:36
INV000193,PH0004,MED0402,373,AVAILABLE,2026-08-20 14:25:41
INV000194,PH0004,MED0188,1,LOW_STOCK,2026-08-20 13:56:34
INV000195,PH0004,MED0055,347,AVAILABLE,2026-08-20 11:39:39
INV000196,PH0004,MED0459,366,AVAILABLE,2026-08-20 17:16:05
INV000197,PH0004,MED0461,341,AVAILABLE,2026-08-20 12:48:48
INV000198,PH0004,MED0190,356,AVAILABLE,2026-08-20 11:29:08
INV000199,PH0004,MED0353,387,AVAILABLE,2026-08-20 13:40:44
INV000200,PH0004,MED0173,353,AVAILABLE,2026-08-20 12:08:58
INV000201,PH0004,MED0088,139,AVAILABLE,2026-08-20 11:33:51
INV000202,PH0004,MED0049,291,AVAILABLE,2026-08-20 13:46:41
INV000203,PH0004,MED0495,190,AVAILABLE,2026-08-20 14:15:27
INV000204,PH0004,MED0113,28,AVAILABLE,2026-08-20 14:34:09
INV000205,PH0004,MED0056,98,AVAILABLE,2026-08-20 17:08:09
INV000206,PH0004,MED0309,400,AVAILABLE,2026-08-20 14:44:27
INV000207,PH0004,MED0040,166,AVAILABLE,2026-08-20 14:11:08
INV000208,PH0004,MED0175,332,AVAILABLE,2026-08-20 15:11:21
INV000209,PH0004,MED0161,356,AVAILABLE,2026-08-20 15:31:42
INV000210,PH0004,MED0466,237,AVAILABLE,2026-08-20 12:57:15
INV000211,PH0004,MED0446,6,LOW_STOCK,2026-08-20 16:10:20
INV000212,PH0004,MED0029,390,AVAILABLE,2026-08-20 16:36:22
INV000213,PH0004,MED0132,348,AVAILABLE,2026-08-20 14:15:40
INV000214,PH0004,MED0418,283,AVAILABLE,2026-08-20 12:32:42
INV000215,PH0004,MED0257,312,AVAILABLE,2026-08-20 14:51:33
INV000216,PH0004,MED0018,132,AVAILABLE,2026-08-20 16:22:16
INV000217,PH0004,MED0510,0,OUT_OF_STOCK,2026-08-20 13:31:26
INV000218,PH0004,MED0434,212,AVAILABLE,2026-08-20 13:04:57
INV000219,PH0004,MED0026,104,AVAILABLE,2026-08-20 14:37:32
INV000220,PH0004,MED0153,169,AVAILABLE,2026-08-20 11:48:45
INV000221,PH0004,MED0141,247,AVAILABLE,2026-08-20 16:13:34
INV000222,PH0004,MED0237,226,AVAILABLE,2026-08-20 16:17:25
INV000223,PH0004,MED0006,356,AVAILABLE,2026-08-20 11:34:53
INV000224,PH0004,MED0369,0,OUT_OF_STOCK,2026-08-20 16:49:38
INV000225,PH0005,MED0023,3,LOW_STOCK,2026-08-18 00:53:38
INV000226,PH0005,MED0238,170,AVAILABLE,2026-08-17 23:01:57
INV000227,PH0005,MED0304,11,LOW_STOCK,2026-08-18 00:19:39
INV000228,PH0005,MED0173,300,AVAILABLE,2026-08-18 00:08:38
INV000229,PH0005,MED0212,235,AVAILABLE,2026-08-17 22:08:21
INV000230,PH0005,MED0155,255,AVAILABLE,2026-08-17 23:21:24
INV000231,PH0005,MED0296,262,AVAILABLE,2026-08-18 02:59:31
INV000232,PH0005,MED0158,1,LOW_STOCK,2026-08-17 21:49:19
INV000233,PH0005,MED0150,0,OUT_OF_STOCK,2026-08-17 23:37:49
INV000234,PH0005,MED0406,38,AVAILABLE,2026-08-17 23:27:20
INV000235,PH0005,MED0280,239,AVAILABLE,2026-08-18 01:48:29
INV000236,PH0005,MED0451,385,AVAILABLE,2026-08-18 00:27:12
INV000237,PH0005,MED0378,48,AVAILABLE,2026-08-17 23:40:47
INV000238,PH0005,MED0204,258,AVAILABLE,2026-08-17 21:47:59
INV000239,PH0005,MED0239,380,AVAILABLE,2026-08-18 02:08:58
INV000240,PH0005,MED0329,247,AVAILABLE,2026-08-18 01:10:55
INV000241,PH0005,MED0257,123,AVAILABLE,2026-08-18 00:08:46
INV000242,PH0005,MED0372,298,AVAILABLE,2026-08-18 00:27:42
INV000243,PH0005,MED0237,7,LOW_STOCK,2026-08-18 00:55:47
INV000244,PH0005,MED0519,318,AVAILABLE,2026-08-18 03:19:03
INV000245,PH0005,MED0059,49,AVAILABLE,2026-08-18 00:21:33
INV000246,PH0005,MED0421,281,AVAILABLE,2026-08-17 21:46:51
INV000247,PH0005,MED0152,6,LOW_STOCK,2026-08-18 01:16:35
INV000248,PH0005,MED0354,278,AVAILABLE,2026-08-18 02:07:29
INV000249,PH0005,MED0365,0,OUT_OF_STOCK,2026-08-18 00:33:20
INV000250,PH0005,MED0306,16,LOW_STOCK,2026-08-18 01:18:53
INV000251,PH0005,MED0056,323,AVAILABLE,2026-08-18 01:18:41
INV000252,PH0005,MED0380,78,AVAILABLE,2026-08-17 22:05:32
INV000253,PH0005,MED0083,11,LOW_STOCK,2026-08-17 23:16:37
INV000254,PH0005,MED0297,4,LOW_STOCK,2026-08-18 02:46:41
INV000255,PH0005,MED0124,296,AVAILABLE,2026-08-18 00:34:06
INV000256,PH0005,MED0097,355,AVAILABLE,2026-08-17 23:00:05
INV000257,PH0005,MED0018,88,AVAILABLE,2026-08-17 22:48:48
INV000258,PH0005,MED0006,270,AVAILABLE,2026-08-18 03:39:50
INV000259,PH0005,MED0051,386,AVAILABLE,2026-08-17 23:08:37
INV000260,PH0005,MED0198,0,OUT_OF_STOCK,2026-08-18 02:59:45
INV000261,PH0005,MED0082,87,AVAILABLE,2026-08-18 02:23:22
INV000262,PH0005,MED0405,5,LOW_STOCK,2026-08-18 01:22:50
INV000263,PH0005,MED0202,138,AVAILABLE,2026-08-18 02:21:46
INV000264,PH0005,MED0265,14,LOW_STOCK,2026-08-17 23:44:17
INV000265,PH0005,MED0515,252,AVAILABLE,2026-08-17 22:10:42
INV000266,PH0005,MED0092,181,AVAILABLE,2026-08-18 03:26:27
INV000267,PH0005,MED0516,255,AVAILABLE,2026-08-18 00:38:24
INV000268,PH0005,MED0063,285,AVAILABLE,2026-08-17 23:00:31
INV000269,PH0005,MED0017,7,LOW_STOCK,2026-08-18 01:40:35
INV000270,PH0005,MED0362,26,AVAILABLE,2026-08-17 22:54:15
INV000271,PH0006,MED0097,398,AVAILABLE,2026-08-18 15:29:58
INV000272,PH0006,MED0468,356,AVAILABLE,2026-08-18 10:42:57
INV000273,PH0006,MED0064,185,AVAILABLE,2026-08-18 14:07:59
INV000274,PH0006,MED0331,368,AVAILABLE,2026-08-18 11:02:38
INV000275,PH0006,MED0044,366,AVAILABLE,2026-08-18 10:40:42
INV000276,PH0006,MED0329,349,AVAILABLE,2026-08-18 15:32:49
INV000277,PH0006,MED0411,328,AVAILABLE,2026-08-18 12:03:21
INV000278,PH0006,MED0157,9,LOW_STOCK,2026-08-18 14:31:42
INV000279,PH0006,MED0362,280,AVAILABLE,2026-08-18 12:53:04
INV000280,PH0006,MED0174,59,AVAILABLE,2026-08-18 14:14:26
INV000281,PH0006,MED0221,267,AVAILABLE,2026-08-18 10:24:10
INV000282,PH0006,MED0493,379,AVAILABLE,2026-08-18 15:29:40
INV000283,PH0006,MED0272,136,AVAILABLE,2026-08-18 10:14:32
INV000284,PH0006,MED0257,45,AVAILABLE,2026-08-18 14:55:05
INV000285,PH0006,MED0460,247,AVAILABLE,2026-08-18 15:25:33
INV000286,PH0006,MED0369,0,OUT_OF_STOCK,2026-08-18 10:30:09
INV000287,PH0006,MED0304,58,AVAILABLE,2026-08-18 11:38:49
INV000288,PH0006,MED0150,244,AVAILABLE,2026-08-18 10:50:19
INV000289,PH0006,MED0060,248,AVAILABLE,2026-08-18 12:52:57
INV000290,PH0006,MED0335,0,OUT_OF_STOCK,2026-08-18 12:16:33
INV000291,PH0006,MED0355,341,AVAILABLE,2026-08-18 14:30:24
INV000292,PH0006,MED0242,169,AVAILABLE,2026-08-18 14:31:42
INV000293,PH0006,MED0125,10,LOW_STOCK,2026-08-18 15:57:37
INV000294,PH0006,MED0285,138,AVAILABLE,2026-08-18 11:11:32
INV000295,PH0006,MED0457,238,AVAILABLE,2026-08-18 10:23:10
INV000296,PH0006,MED0103,0,OUT_OF_STOCK,2026-08-18 14:48:04
INV000297,PH0006,MED0011,183,AVAILABLE,2026-08-18 13:13:49
INV000298,PH0006,MED0229,279,AVAILABLE,2026-08-18 12:08:14
INV000299,PH0006,MED0238,0,OUT_OF_STOCK,2026-08-18 10:26:22
INV000300,PH0006,MED0234,381,AVAILABLE,2026-08-18 10:36:24
INV000301,PH0006,MED0360,380,AVAILABLE,2026-08-18 12:05:33
INV000302,PH0006,MED0192,139,AVAILABLE,2026-08-18 15:28:55
INV000303,PH0006,MED0490,306,AVAILABLE,2026-08-18 11:27:53
INV000304,PH0006,MED0135,39,AVAILABLE,2026-08-18 15:17:19
INV000305,PH0006,MED0440,0,OUT_OF_STOCK,2026-08-18 13:53:56
INV000306,PH0006,MED0041,175,AVAILABLE,2026-08-18 12:15:13
INV000307,PH0006,MED0057,0,OUT_OF_STOCK,2026-08-18 15:03:30
INV000308,PH0006,MED0100,397,AVAILABLE,2026-08-18 13:52:18
INV000309,PH0006,MED0396,340,AVAILABLE,2026-08-18 11:40:32
INV000310,PH0006,MED0450,13,LOW_STOCK,2026-08-18 15:57:54
INV000311,PH0006,MED0114,126,AVAILABLE,2026-08-18 14:18:34
INV000312,PH0006,MED0463,261,AVAILABLE,2026-08-18 11:51:17
INV000313,PH0006,MED0475,12,LOW_STOCK,2026-08-18 11:39:02
INV000314,PH0006,MED0347,298,AVAILABLE,2026-08-18 14:24:29
INV000315,PH0006,MED0237,341,AVAILABLE,2026-08-18 13:11:11
INV000316,PH0006,MED0195,332,AVAILABLE,2026-08-18 15:25:10
INV000317,PH0006,MED0190,21,AVAILABLE,2026-08-18 14:05:19
INV000318,PH0006,MED0264,3,LOW_STOCK,2026-08-18 13:01:37
INV000319,PH0006,MED0134,309,AVAILABLE,2026-08-18 12:47:52
INV000320,PH0006,MED0111,166,AVAILABLE,2026-08-18 10:45:41
INV000321,PH0006,MED0301,173,AVAILABLE,2026-08-18 11:04:56
INV000322,PH0006,MED0489,217,AVAILABLE,2026-08-18 11:54:52
INV000323,PH0006,MED0325,322,AVAILABLE,2026-08-18 14:34:40
INV000324,PH0006,MED0389,375,AVAILABLE,2026-08-18 13:11:15
INV000325,PH0006,MED0021,0,OUT_OF_STOCK,2026-08-18 10:07:53
INV000326,PH0006,MED0203,5,LOW_STOCK,2026-08-18 12:53:34
INV000327,PH0007,MED0508,346,AVAILABLE,2026-08-18 22:42:07
INV000328,PH0007,MED0155,1,LOW_STOCK,2026-08-18 23:48:43
INV000329,PH0007,MED0173,344,AVAILABLE,2026-08-19 02:35:46
INV000330,PH0007,MED0139,0,OUT_OF_STOCK,2026-08-19 00:19:39
INV000331,PH0007,MED0230,6,LOW_STOCK,2026-08-19 03:59:02
INV000332,PH0007,MED0519,0,OUT_OF_STOCK,2026-08-19 01:58:08
INV000333,PH0007,MED0477,213,AVAILABLE,2026-08-18 22:44:38
INV000334,PH0007,MED0188,59,AVAILABLE,2026-08-19 04:40:28
INV000335,PH0007,MED0094,8,LOW_STOCK,2026-08-19 03:00:58
INV000336,PH0007,MED0202,36,AVAILABLE,2026-08-19 03:52:37
INV000337,PH0007,MED0105,85,AVAILABLE,2026-08-19 03:52:54
INV000338,PH0007,MED0112,0,OUT_OF_STOCK,2026-08-19 01:00:04
INV000339,PH0007,MED0408,57,AVAILABLE,2026-08-18 23:17:08
INV000340,PH0007,MED0156,244,AVAILABLE,2026-08-18 22:51:06
INV000341,PH0007,MED0287,235,AVAILABLE,2026-08-19 01:45:15
INV000342,PH0007,MED0285,28,AVAILABLE,2026-08-19 04:07:15
INV000343,PH0007,MED0436,334,AVAILABLE,2026-08-19 04:15:02
INV000344,PH0007,MED0039,175,AVAILABLE,2026-08-19 03:01:37
INV000345,PH0007,MED0030,160,AVAILABLE,2026-08-19 02:55:15
INV000346,PH0007,MED0367,0,OUT_OF_STOCK,2026-08-19 00:01:20
INV000347,PH0007,MED0057,254,AVAILABLE,2026-08-19 02:51:33
INV000348,PH0007,MED0457,204,AVAILABLE,2026-08-19 02:04:40
INV000349,PH0007,MED0480,212,AVAILABLE,2026-08-18 23:48:08
INV000350,PH0007,MED0402,216,AVAILABLE,2026-08-19 03:12:20
INV000351,PH0007,MED0347,0,OUT_OF_STOCK,2026-08-19 04:17:04
INV000352,PH0007,MED0058,202,AVAILABLE,2026-08-19 00:16:23
INV000353,PH0007,MED0020,333,AVAILABLE,2026-08-19 00:52:52
INV000354,PH0007,MED0221,100,AVAILABLE,2026-08-19 00:50:50
INV000355,PH0007,MED0016,244,AVAILABLE,2026-08-19 02:25:47
INV000356,PH0007,MED0131,67,AVAILABLE,2026-08-19 02:53:30
INV000357,PH0007,MED0432,130,AVAILABLE,2026-08-18 23:07:11
INV000358,PH0007,MED0333,18,LOW_STOCK,2026-08-19 02:44:36
INV000359,PH0007,MED0469,11,LOW_STOCK,2026-08-19 02:37:26
INV000360,PH0007,MED0348,9,LOW_STOCK,2026-08-19 00:00:24
INV000361,PH0007,MED0328,0,OUT_OF_STOCK,2026-08-19 01:23:15
INV000362,PH0007,MED0032,112,AVAILABLE,2026-08-19 01:28:58
