history_id,pharmacy_id,medicine_id,quantity,recorded_at
HIST000059,PH0001,MED0162,41,2026-03-25 14:00:00
HIST000060,PH0001,MED0162,26,2026-04-27 14:00:00
HIST000061,PH0001,MED0162,19,2026-05-24 14:00:00
HIST000062,PH0001,MED0162,16,2026-06-26 14:00:00
HIST000063,PH0001,MED0162,8,2026-07-24 14:00:00
HIST000064,PH0001,MED0023,237,2025-11-26 14:00:00
HIST000065,PH0001,MED0023,271,2025-12-27 14:00:00
HIST000066,PH0001,MED0023,254,2026-01-26 14:00:00
HIST000067,PH0001,MED0023,263,2026-02-24 14:00:00
HIST000068,PH0001,MED0023,269,2026-03-28 14:00:00
HIST000069,PH0001,MED0023,270,2026-04-23 14:00:00
HIST000070,PH0001,MED0023,264,2026-05-25 14:00:00
HIST000071,PH0001,MED0023,281,2026-06-25 14:00:00
HIST000072,PH0001,MED0023,281,2026-07-25 14:00:00
HIST000073,PH0001,MED0469,97,2025-11-25 14:00:00
HIST000074,PH0001,MED0469,97,2025-12-26 14:00:00
HIST000075,PH0001,MED0469,98,2026-01-25 14:00:00
HIST000076,PH0001,MED0469,102,2026-02-22 14:00:00
HIST000077,PH0001,MED0469,105,2026-03-24 14:00:00
HIST000078,PH0001,MED0469,111,2026-04-23 14:00:00
HIST000079,PH0001,MED0469,103,2026-05-27 14:00:00
HIST000080,PH0001,MED0469,109,2026-06-22 14:00:00
HIST000081,PH0001,MED0469,101,2026-07-23 14:00:00
HIST000082,PH0001,MED0113,85,2025-11-24 14:00:00
HIST000083,PH0001,MED0113,84,2025-12-25 14:00:00
HIST000084,PH0001,MED0113,78,2026-01-24 14:00:00
HIST000085,PH0001,MED0113,68,2026-02-22 14:00:00
HIST000086,PH0001,MED0113,70,2026-03-25 14:00:00
HIST000087,PH0001,MED0113,75,2026-04-27 14:00:00
HIST000088,PH0001,MED0113,71,2026-05-23 14:00:00
HIST000089,PH0001,MED0113,52,2026-06-23 14:00:00
HIST000090,PH0001,MED0113,47,2026-07-24 14:00:00
HIST000091,PH0001,MED0017,109,2025-11-25 14:00:00
HIST000092,PH0001,MED0017,106,2025-12-24 14:00:00
HIST000093,PH0001,MED0017,121,2026-01-24 14:00:00
HIST000094,PH0001,MED0017,103,2026-02-22 14:00:00
HIST000095,PH0001,MED0017,107,2026-03-24 14:00:00
HIST000096,PH0001,MED0017,115,2026-04-26 14:00:00
HIST000097,PH0001,MED0017,107,2026-05-27 14:00:00
HIST000098,PH0001,MED0017,109,2026-06-23 14:00:00
HIST000099,PH0001,MED0017,110,2026-07-23 14:00:00
HIST000100,PH0001,MED0105,257,2025-11-28 14:00:00
HIST000101,PH0001,MED0105,270,2025-12-25 14:00:00
HIST000102,PH0001,MED0105,285,2026-01-24 14:00:00
HIST000103,PH0001,MED0105,258,2026-02-25 14:00:00
HIST000104,PH0001,MED0105,307,2026-03-27 14:00:00
HIST000105,PH0001,MED0105,284,2026-04-24 14:00:00
HIST000106,PH0001,MED0105,267,2026-05-27 14:00:00
HIST000107,PH0001,MED0105,296,2026-06-25 14:00:00
HIST000108,PH0001,MED0105,254,2026-07-24 14:00:00
HIST000109,PH0001,MED0062,268,2025-11-27 14:00:00
HIST000110,PH0001,MED0062,240,2025-12-26 14:00:00
HIST000111,PH0001,MED0062,294,2026-01-23 14:00:00
HIST000112,PH0001,MED0062,266,2026-02-22 14:00:00
HIST000113,PH0001,MED0062,273,2026-03-24 14:00:00
HIST000114,PH0001,MED0062,270,2026-04-23 14:00:00
HIST000115,PH0001,MED0062,242,2026-05-26 14:00:00
HIST000116,PH0001,MED0062,164,2026-06-23 14:00:00
HIST000117,PH0001,MED0062,169,2026-07-23 14:00:00
HIST000118,PH0001,MED0296,96,2025-11-26 14:00:00
HIST000119,PH0001,MED0296,96,2025-12-25 14:00:00
HIST000120,PH0001,MED0296,103,2026-01-26 14:00:00
HIST000121,PH0001,MED0296,97,2026-02-23 14:00:00
HIST000122,PH0001,MED0296,91,2026-03-28 14:00:00
HIST000123,PH0001,MED0296,104,2026-04-25 14:00:00
HIST000124,PH0001,MED0296,99,2026-05-27 14:00:00
HIST000125,PH0001,MED0296,105,2026-06-25 14:00:00
HIST000126,PH0001,MED0296,99,2026-07-23 14:00:00
HIST000127,PH0001,MED0358,116,2025-11-25 14:00:00
HIST000128,PH0001,MED0358,89,2025-12-25 14:00:00
HIST000129,PH0001,MED0358,92,2026-01-26 14:00:00
HIST000130,PH0001,MED0358,92,2026-02-23 14:00:00
HIST000131,PH0001,MED0358,211,2026-03-25 14:00:00
HIST000132,PH0001,MED0358,169,2026-04-24 14:00:00
HIST000133,PH0001,MED0358,169,2026-05-23 14:00:00
HIST000134,PH0001,MED0358,168,2026-06-24 14:00:00
HIST000135,PH0001,MED0358,170,2026-07-23 14:00:00
HIST000136,PH0001,MED0517,48,2025-11-27 14:00:00
HIST000137,PH0001,MED0517,54,2025-12-24 14:00:00
HIST000138,PH0001,MED0517,56,2026-01-25 14:00:00
HIST000139,PH0001,MED0517,56,2026-02-22 14:00:00
HIST000140,PH0001,MED0517,57,2026-03-24 14:00:00
HIST000141,PH0001,MED0517,47,2026-04-25 14:00:00
HIST000142,PH0001,MED0517,50,2026-05-25 14:00:00
HIST000143,PH0001,MED0517,48,2026-06-23 14:00:00
HIST000144,PH0001,MED0517,49,2026-07-23 14:00:00
HIST000145,PH0001,MED0331,257,2025-11-24 14:00:00
HIST000146,PH0001,MED0331,242,2025-12-28 14:00:00
HIST000147,PH0001,MED0331,277,2026-01-24 14:00:00
HIST000148,PH0001,MED0331,232,2026-02-24 14:00:00
HIST000149,PH0001,MED0331,277,2026-03-27 14:00:00
HIST000150,PH0001,MED0331,266,2026-04-27 14:00:00
HIST000151,PH0001,MED0331,263,2026-05-24 14:00:00
HIST000152,PH0001,MED0331,245,2026-06-25 14:00:00
HIST000153,PH0001,MED0331,278,2026-07-24 14:00:00
HIST000154,PH0001,MED0042,160,2025-11-25 14:00:00
HIST000155,PH0001,MED0042,153,2025-12-27 14:00:00
HIST000156,PH0001,MED0042,149,2026-01-27 14:00:00
HIST000157,PH0001,MED0042,140,2026-02-26 14:00:00
HIST000158,PH0001,MED0042,138,2026-03-28 14:00:00
HIST000159,PH0001,MED0042,161,2026-04-24 14:00:00
HIST000160,PH0001,MED0042,157,2026-05-27 14:00:00
HIST000161,PH0001,MED0042,148,2026-06-24 14:00:00
HIST000162,PH0001,MED0042,149,2026-07-25 14:00:00
HIST000163,PH0001,MED0323,223,2025-11-25 14:00:00
HIST000164,PH0001,MED0323,167,2025-12-25 14:00:00
HIST000165,PH0001,MED0323,118,2026-01-24 14:00:00
HIST000166,PH0001,MED0323,91,2026-02-26 14:00:00
HIST000167,PH0001,MED0323,69,2026-03-28 14:00:00
HIST000168,PH0001,MED0323,59,2026-04-27 14:00:00
HIST000169,PH0001,MED0323,42,2026-05-26 14:00:00
HIST000170,PH0001,MED0323,29,2026-06-24 14:00:00
HIST000171,PH0001,MED0323,20,2026-07-24 14:00:00
HIST000172,PH0002,MED0311,209,2025-11-26 14:00:00
HIST000173,PH0002,MED0311,259,2025-12-28 14:00:00
HIST000174,PH0002,MED0311,0,2026-01-23 14:00:00
HIST000175,PH0002,MED0311,25,2026-02-24 14:00:00
HIST000176,PH0002,MED0311,0,2026-03-24 14:00:00
HIST000177,PH0002,MED0311,13,2026-04-25 14:00:00
HIST000178,PH0002,MED0311,214,2026-05-23 14:00:00
HIST000179,PH0002,MED0311,27,2026-06-25 14:00:00
HIST000180,PH0002,MED0311,23,2026-07-22 14:00:00
HIST000181,PH0002,MED0210,123,2025-11-25 14:00:00
HIST000182,PH0002,MED0210,113,2025-12-26 14:00:00
HIST000183,PH0002,MED0210,138,2026-01-25 14:00:00
HIST000184,PH0002,MED0210,135,2026-02-24 14:00:00
HIST000185,PH0002,MED0210,107,2026-03-25 14:00:00
HIST000186,PH0002,MED0210,117,2026-04-25 14:00:00
HIST000187,PH0002,MED0210,112,2026-05-24 14:00:00
HIST000188,PH0002,MED0210,85,2026-06-25 14:00:00
HIST000189,PH0002,MED0210,93,2026-07-24 14:00:00
HIST000190,PH0002,MED0157,52,2025-11-25 14:00:00
HIST000191,PH0002,MED0157,49,2025-12-26 14:00:00
HIST000192,PH0002,MED0157,49,2026-01-25 14:00:00
HIST000193,PH0002,MED0157,47,2026-02-22 14:00:00
HIST000194,PH0002,MED0157,51,2026-03-24 14:00:00
HIST000195,PH0002,MED0157,53,2026-04-26 14:00:00
HIST000196,PH0002,MED0157,54,2026-05-23 14:00:00
HIST000197,PH0002,MED0157,50,2026-06-24 14:00:00
HIST000198,PH0002,MED0157,55,2026-07-22 14:00:00
HIST000199,PH0002,MED0025,178,2025-11-25 14:00:00
HIST000200,PH0002,MED0025,162,2025-12-27 14:00:00
HIST000201,PH0002,MED0025,162,2026-01-26 14:00:00
HIST000202,PH0002,MED0025,169,2026-02-26 14:00:00
HIST000203,PH0002,MED0025,168,2026-03-27 14:00:00
HIST000204,PH0002,MED0025,163,2026-04-26 14:00:00
HIST000205,PH0002,MED0025,170,2026-05-24 14:00:00
HIST000206,PH0002,MED0025,154,2026-06-23 14:00:00
HIST000207,PH0002,MED0025,168,2026-07-22 14:00:00
HIST000208,PH0002,MED0449,47,2025-11-24 14:00:00
HIST000209,PH0002,MED0449,41,2025-12-24 14:00:00
HIST000210,PH0002,MED0449,45,2026-01-25 14:00:00
HIST000211,PH0002,MED0449,44,2026-02-22 14:00:00
HIST000212,PH0002,MED0449,46,2026-03-28 14:00:00
HIST000213,PH0002,MED0449,41,2026-04-24 14:00:00
HIST000214,PH0002,MED0449,45,2026-05-27 14:00:00
HIST000215,PH0002,MED0449,46,2026-06-26 14:00:00
HIST000216,PH0002,MED0449,43,2026-07-22 14:00:00
HIST000217,PH0002,MED0241,49,2025-11-24 14:00:00
HIST000218,PH0002,MED0241,52,2025-12-25 14:00:00
HIST000219,PH0002,MED0241,54,2026-01-25 14:00:00
HIST000220,PH0002,MED0241,55,2026-02-23 14:00:00
HIST000221,PH0002,MED0241,51,2026-03-26 14:00:00
HIST000222,PH0002,MED0241,45,2026-04-24 14:00:00
HIST000223,PH0002,MED0241,48,2026-05-26 14:00:00
HIST000224,PH0002,MED0241,46,2026-06-24 14:00:00
HIST000225,PH0002,MED0241,46,2026-07-22 14:00:00
HIST000226,PH0002,MED0192,65,2025-11-25 14:00:00
HIST000227,PH0002,MED0192,71,2025-12-26 14:00:00
HIST000228,PH0002,MED0192,68,2026-01-23 14:00:00
HIST000229,PH0002,MED0192,79,2026-02-24 14:00:00
HIST000230,PH0002,MED0192,133,2026-03-28 14:00:00
HIST000231,PH0002,MED0192,116,2026-04-25 14:00:00
HIST000232,PH0002,MED0192,115,2026-05-26 14:00:00
HIST000233,PH0002,MED0192,133,2026-06-25 14:00:00
HIST000234,PH0002,MED0192,141,2026-07-24 14:00:00
HIST000235,PH0002,MED0349,124,2025-11-28 14:00:00
HIST000236,PH0002,MED0349,127,2025-12-24 14:00:00
HIST000237,PH0002,MED0349,133,2026-01-23 14:00:00
HIST000238,PH0002,MED0349,125,2026-02-22 14:00:00
HIST000239,PH0002,MED0349,143,2026-03-25 14:00:00
HIST000240,PH0002,MED0349,120,2026-04-26 14:00:00
HIST000241,PH0002,MED0349,120,2026-05-24 14:00:00
HIST000242,PH0002,MED0349,132,2026-06-23 14:00:00
HIST000243,PH0002,MED0349,121,2026-07-22 14:00:00
HIST000244,PH0002,MED0201,81,2025-11-24 14:00:00
HIST000245,PH0002,MED0201,70,2025-12-27 14:00:00
HIST000246,PH0002,MED0201,80,2026-01-26 14:00:00
HIST000247,PH0002,MED0201,70,2026-02-24 14:00:00
HIST000248,PH0002,MED0201,77,2026-03-26 14:00:00
HIST000249,PH0002,MED0201,69,2026-04-25 14:00:00
HIST000250,PH0002,MED0201,69,2026-05-26 14:00:00
HIST000251,PH0002,MED0201,82,2026-06-25 14:00:00
HIST000252,PH0002,MED0201,77,2026-07-22 14:00:00
HIST000253,PH0002,MED0354,0,2025-11-25 14:00:00
HIST000254,PH0002,MED0354,0,2025-12-24 14:00:00
HIST000255,PH0002,MED0354,8,2026-01-24 14:00:00
HIST000256,PH0002,MED0354,18,2026-02-22 14:00:00
HIST000257,PH0002,MED0354,55,2026-03-25 14:00:00
HIST000258,PH0002,MED0354,0,2026-04-23 14:00:00
HIST000259,PH0002,MED0354,0,2026-05-25 14:00:00
HIST000260,PH0002,MED0354,0,2026-06-25 14:00:00
HIST000261,PH0002,MED0354,0,2026-07-22 14:00:00
HIST000262,PH0002,MED0246,0,2025-11-24 14:00:00
HIST000263,PH0002,MED0246,265,2025-12-25 14:00:00
HIST000264,PH0002,MED0246,0,2026-01-23 14:00:00
HIST000265,PH0002,MED0246,18,2026-02-26 14:00:00
HIST000266,PH0002,MED0246,13,2026-03-24 14:00:00
HIST000267,PH0002,MED0246,0,2026-04-27 14:00:00
HIST000268,PH0002,MED0246,0,2026-05-25 14:00:00
HIST000269,PH0002,MED0246,211,2026-06-25 14:00:00
HIST000270,PH0002,MED0246,227,2026-07-23 14:00:00
HIST000271,PH0002,MED0167,125,2025-11-28 14:00:00
HIST000272,PH0002,MED0167,124,2025-12-24 14:00:00
HIST000273,PH0002,MED0167,149,2026-01-23 14:00:00
HIST000274,PH0002,MED0167,138,2026-02-23 14:00:00
HIST000275,PH0002,MED0167,142,2026-03-25 14:00:00
HIST000276,PH0002,MED0167,127,2026-04-26 14:00:00
HIST000277,PH0002,MED0167,128,2026-05-25 14:00:00
HIST000278,PH0002,MED0167,136,2026-06-25 14:00:00
HIST000279,PH0002,MED0167,140,2026-07-25 14:00:00
HIST000280,PH0002,MED0207,177,2025-11-27 14:00:00
HIST000281,PH0002,MED0207,161,2025-12-24 14:00:00
HIST000282,PH0002,MED0207,179,2026-01-23 14:00:00
HIST000283,PH0002,MED0207,169,2026-02-23 14:00:00
HIST000284,PH0002,MED0207,178,2026-03-24 14:00:00
HIST000285,PH0002,MED0207,183,2026-04-24 14:00:00
HIST000286,PH0002,MED0207,186,2026-05-23 14:00:00
HIST000287,PH0002,MED0207,167,2026-06-23 14:00:00
HIST000288,PH0002,MED0207,196,2026-07-22 14:00:00
HIST000289,PH0002,MED0269,99,2025-11-24 14:00:00
HIST000290,PH0002,MED0269,104,2025-12-25 14:00:00
HIST000291,PH0002,MED0269,90,2026-01-26 14:00:00
HIST000292,PH0002,MED0269,101,2026-02-25 14:00:00
HIST000293,PH0002,MED0269,90,2026-03-24 14:00:00
HIST000294,PH0002,MED0269,100,2026-04-24 14:00:00
HIST000295,PH0002,MED0269,103,2026-05-25 14:00:00
HIST000296,PH0002,MED0269,96,2026-06-23 14:00:00
HIST000297,PH0002,MED0269,90,2026-07-25 14:00:00
HIST000298,PH0002,MED0057,188,2025-11-28 14:00:00
HIST000299,PH0002,MED0057,209,2025-12-24 14:00:00
HIST000300,PH0002,MED0057,193,2026-01-23 14:00:00
HIST000301,PH0002,MED0057,198,2026-02-22 14:00:00
HIST000302,PH0002,MED0057,173,2026-03-28 14:00:00
HIST000303,PH0002,MED0057,179,2026-04-27 14:00:00
HIST000304,PH0002,MED0057,187,2026-05-26 14:00:00
HIST000305,PH0002,MED0057,180,2026-06-25 14:00:00
HIST000306,PH0002,MED0057,173,2026-07-25 14:00:00
HIST000307,PH0002,MED0088,111,2025-11-25 14:00:00
HIST000308,PH0002,MED0088,120,2025-12-28 14:00:00
HIST000309,PH0002,MED0088,107,2026-01-25 14:00:00
HIST000310,PH0002,MED0088,123,2026-02-25 14:00:00
HIST000311,PH0002,MED0088,116,2026-03-27 14:00:00
HIST000312,PH0002,MED0088,114,2026-04-25 14:00:00
HIST000313,PH0002,MED0088,121,2026-05-27 14:00:00
HIST000314,PH0002,MED0088,114,2026-06-22 14:00:00
HIST000315,PH0002,MED0088,122,2026-07-22 14:00:00
HIST000316,PH0002,MED0089,111,2025-11-24 14:00:00
HIST000317,PH0002,MED0089,106,2025-12-28 14:00:00
HIST000318,PH0002,MED0089,118,2026-01-23 14:00:00
HIST000319,PH0002,MED0089,119,2026-02-26 14:00:00
HIST000320,PH0002,MED0089,110,2026-03-24 14:00:00
HIST000321,PH0002,MED0089,122,2026-04-25 14:00:00
HIST000322,PH0002,MED0089,109,2026-05-25 14:00:00
HIST000323,PH0002,MED0089,115,2026-06-22 14:00:00
HIST000324,PH0002,MED0089,120,2026-07-24 14:00:00
HIST000325,PH0002,MED0019,128,2025-11-25 14:00:00
HIST000326,PH0002,MED0019,118,2025-12-27 14:00:00
HIST000327,PH0002,MED0019,135,2026-01-23 14:00:00
HIST000328,PH0002,MED0019,133,2026-02-26 14:00:00
HIST000329,PH0002,MED0019,133,2026-03-28 14:00:00
HIST000330,PH0002,MED0019,128,2026-04-23 14:00:00
HIST000331,PH0002,MED0019,132,2026-05-23 14:00:00
HIST000332,PH0002,MED0019,120,2026-06-26 14:00:00
HIST000333,PH0002,MED0019,133,2026-07-24 14:00:00
HIST000334,PH0003,MED0411,235,2025-11-27 14:00:00
HIST000335,PH0003,MED0411,211,2025-12-28 14:00:00
HIST000336,PH0003,MED0411,250,2026-01-24 14:00:00
HIST000337,PH0003,MED0411,231,2026-02-22 14:00:00
HIST000338,PH0003,MED0411,237,2026-03-26 14:00:00
HIST000339,PH0003,MED0411,256,2026-04-23 14:00:00
HIST000340,PH0003,MED0411,231,2026-05-26 14:00:00
HIST000341,PH0003,MED0411,228,2026-06-24 14:00:00
HIST000342,PH0003,MED0411,223,2026-07-22 14:00:00
HIST000343,PH0003,MED0387,208,2025-11-25 14:00:00
HIST000344,PH0003,MED0387,192,2025-12-24 14:00:00
HIST000345,PH0003,MED0387,193,2026-01-26 14:00:00
HIST000346,PH0003,MED0387,214,2026-02-23 14:00:00
HIST000347,PH0003,MED0387,191,2026-03-28 14:00:00
HIST000348,PH0003,MED0387,188,2026-04-27 14:00:00
HIST000349,PH0003,MED0387,194,2026-05-27 14:00:00
HIST000350,PH0003,MED0387,216,2026-06-23 14:00:00
HIST000351,PH0003,MED0387,187,2026-07-22 14:00:00
HIST000352,PH0003,MED0218,258,2025-11-27 14:00:00
HIST000353,PH0003,MED0218,240,2025-12-27 14:00:00
HIST000354,PH0003,MED0218,258,2026-01-25 14:00:00
HIST000355,PH0003,MED0218,263,2026-02-24 14:00:00
HIST000356,PH0003,MED0218,229,2026-03-26 14:00:00
HIST000357,PH0003,MED0218,231,2026-04-26 14:00:00
HIST000358,PH0003,MED0218,262,2026-05-27 14:00:00
HIST000359,PH0003,MED0218,217,2026-06-25 14:00:00
HIST000360,PH0003,MED0218,225,2026-07-22 14:00:00
HIST000361,PH0003,MED0206,54,2025-11-24 14:00:00
HIST000362,PH0003,MED0206,53,2025-12-28 14:00:00
HIST000363,PH0003,MED0206,53,2026-01-23 14:00:00
HIST000364,PH0003,MED0206,59,2026-02-23 14:00:00
HIST000365,PH0003,MED0206,57,2026-03-24 14:00:00
HIST000366,PH0003,MED0206,55,2026-04-24 14:00:00
HIST000367,PH0003,MED0206,61,2026-05-23 14:00:00
HIST000368,PH0003,MED0206,52,2026-06-25 14:00:00
HIST000369,PH0003,MED0206,52,2026-07-26 14:00:00
HIST000370,PH0003,MED0123,272,2025-11-28 14:00:00
HIST000371,PH0003,MED0123,249,2025-12-26 14:00:00
HIST000372,PH0003,MED0123,265,2026-01-26 14:00:00
HIST000373,PH0003,MED0123,244,2026-02-26 14:00:00
HIST000374,PH0003,MED0123,257,2026-03-27 14:00:00
HIST000375,PH0003,MED0123,292,2026-04-25 14:00:00
HIST000376,PH0003,MED0123,258,2026-05-23 14:00:00
HIST000377,PH0003,MED0123,259,2026-06-26 14:00:00
HIST000378,PH0003,MED0123,282,2026-07-25 14:00:00
HIST000379,PH0003,MED0369,84,2025-11-25 14:00:00
HIST000380,PH0003,MED0369,62,2025-12-27 14:00:00
HIST000381,PH0003,MED0369,45,2026-01-25 14:00:00
HIST000382,PH0003,MED0369,32,2026-02-22 14:00:00
HIST000383,PH0003,MED0369,25,2026-03-25 14:00:00
HIST000384,PH0003,MED0369,18,2026-04-26 14:00:00
HIST000385,PH0003,MED0369,12,2026-05-24 14:00:00
HIST000386,PH0003,MED0369,7,2026-06-26 14:00:00
HIST000387,PH0003,MED0369,2,2026-07-25 14:00:00
HIST000388,PH0003,MED0078,81,2025-11-25 14:00:00
HIST000389,PH0003,MED0078,88,2025-12-27 14:00:00
HIST000390,PH0003,MED0078,70,2026-01-25 14:00:00
HIST000391,PH0003,MED0078,88,2026-02-26 14:00:00
HIST000392,PH0003,MED0078,121,2026-03-28 14:00:00
HIST000393,PH0003,MED0078,142,2026-04-24 14:00:00
HIST000394,PH0003,MED0078,138,2026-05-27 14:00:00
HIST000395,PH0003,MED0078,153,2026-06-22 14:00:00
HIST000396,PH0003,MED0078,132,2026-07-24 14:00:00
HIST000397,PH0003,MED0290,155,2025-11-27 14:00:00
HIST000398,PH0003,MED0290,151,2025-12-27 14:00:00
HIST000399,PH0003,MED0290,147,2026-01-23 14:00:00
HIST000400,PH0003,MED0290,144,2026-02-22 14:00:00
HIST000401,PH0003,MED0290,139,2026-03-27 14:00:00
HIST000402,PH0003,MED0290,146,2026-04-26 14:00:00
HIST000403,PH0003,MED0290,140,2026-05-26 14:00:00
HIST000404,PH0003,MED0290,132,2026-06-23 14:00:00
HIST000405,PH0003,MED0290,148,2026-07-23 14:00:00
HIST000406,PH0003,MED0496,41,2025-11-24 14:00:00
HIST000407,PH0003,MED0496,41,2025-12-28 14:00:00
HIST000408,PH0003,MED0496,45,2026-01-26 14:00:00
HIST000409,PH0003,MED0496,41,2026-02-24 14:00:00
HIST000410,PH0003,MED0496,42,2026-03-25 14:00:00
HIST000411,PH0003,MED0496,43,2026-04-23 14:00:00
HIST000412,PH0003,MED0496,41,2026-05-24 14:00:00
HIST000413,PH0003,MED0496,44,2026-06-25 14:00:00
HIST000414,PH0003,MED0496,47,2026-07-22 14:00:00
HIST000415,PH0003,MED0456,144,2025-11-24 14:00:00
HIST000416,PH0003,MED0456,0,2025-12-26 14:00:00
HIST000417,PH0003,MED0456,142,2026-01-25 14:00:00
HIST000418,PH0003,MED0456,0,2026-02-24 14:00:00
HIST000419,PH0003,MED0456,0,2026-03-28 14:00:00
HIST000420,PH0003,MED0456,0,2026-04-25 14:00:00
HIST000421,PH0003,MED0456,0,2026-05-24 14:00:00
HIST000422,PH0003,MED0456,27,2026-06-26 14:00:00
HIST000423,PH0003,MED0456,0,2026-07-25 14:00:00
HIST000424,PH0003,MED0235,163,2025-11-26 14:00:00
HIST000425,PH0003,MED0235,175,2025-12-27 14:00:00
HIST000426,PH0003,MED0235,162,2026-01-24 14:00:00
HIST000427,PH0003,MED0235,169,2026-02-25 14:00:00
HIST000428,PH0003,MED0235,149,2026-03-25 14:00:00
HIST000429,PH0003,MED0235,166,2026-04-27 14:00:00
HIST000430,PH0003,MED0235,171,2026-05-24 14:00:00
HIST000431,PH0003,MED0235,164,2026-06-24 14:00:00
HIST000432,PH0003,MED0235,144,2026-07-23 14:00:00
HIST000433,PH0003,MED0064,74,2025-11-28 14:00:00
HIST000434,PH0003,MED0064,92,2025-12-26 14:00:00
HIST000435,PH0003,MED0064,87,2026-01-26 14:00:00
HIST000436,PH0003,MED0064,75,2026-02-22 14:00:00
HIST000437,PH0003,MED0064,87,2026-03-24 14:00:00
HIST000438,PH0003,MED0064,97,2026-04-24 14:00:00
HIST000439,PH0003,MED0064,98,2026-05-24 14:00:00
HIST000440,PH0003,MED0064,61,2026-06-24 14:00:00
HIST000441,PH0003,MED0064,51,2026-07-22 14:00:00
HIST000442,PH0003,MED0129,149,2025-11-26 14:00:00
HIST000443,PH0003,MED0129,157,2025-12-24 14:00:00
HIST000444,PH0003,MED0129,165,2026-01-24 14:00:00
HIST000445,PH0003,MED0129,157,2026-02-26 14:00:00
HIST000446,PH0003,MED0129,161,2026-03-26 14:00:00
HIST000447,PH0003,MED0129,145,2026-04-25 14:00:00
HIST000448,PH0003,MED0129,141,2026-05-25 14:00:00
HIST000449,PH0003,MED0129,148,2026-06-24 14:00:00
